testDate,testCaseDate,from history,from,to,exchange,currency,asset,strategy,profit,sharpe,market,profit diff,trades,candleSize,historySize,quickName,raw,raw full,commission
2019-08-03T17:41:48.912Z,2019-08-03T17:41:57.413Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,mounirs-ga-version-1,11.163603276000018,0.5506667535645305,68.63568028063142,-57.4720770046314,8,480,200,mounirs-ga-version-1_X,"min_periods = 200
candleSize = 480","{""strategyName"":""mounirs-ga-version-1"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""mounirs-ga-version-1"":{""min_periods"":200,""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""mounirs-ga-version-1"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""min_periods = 200\ncandleSize = 480""}",0.1
2019-08-03T17:41:48.912Z,2019-08-03T17:41:57.755Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,mounirs-ga-version-2,0,0,68.63568028063142,-68.63568028063142,0,480,200,mounirs-ga-version-2_X,"min_periods = 200
candleSize = 480","{""strategyName"":""mounirs-ga-version-2"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""mounirs-ga-version-2"":{""min_periods"":200,""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""mounirs-ga-version-2"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""min_periods = 200\ncandleSize = 480""}",0.1
2019-08-03T17:41:48.912Z,2019-08-03T17:42:04.740Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,neuralnet_SirTificate,6.5748297439999845,0.3989375111954831,68.63568028063142,-62.060850536631435,4,480,200,neuralnet_SirTificate_X,"threshold_buy = 1
threshold_sell = -1
learning_rate = 0.01
momentum = 0.1
decay = 0.01
stoploss_enabled = false
stoploss_threshold = 0.85
hodl_threshold = 1
price_buffer_len = 100
min_predictions = 200
candleSize = 480","{""strategyName"":""neuralnet_SirTificate"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""neuralnet_SirTificate"":{""threshold_buy"":1,""threshold_sell"":-1,""learning_rate"":0.01,""momentum"":0.1,""decay"":0.01,""stoploss_enabled"":false,""stoploss_threshold"":0.85,""hodl_threshold"":1,""price_buffer_len"":100,""min_predictions"":200,""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""neuralnet_SirTificate"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""threshold_buy = 1\nthreshold_sell = -1\nlearning_rate = 0.01\nmomentum = 0.1\ndecay = 0.01\nstoploss_enabled = false\nstoploss_threshold = 0.85\nhodl_threshold = 1\nprice_buffer_len = 100\nmin_predictions = 200\ncandleSize = 480""}",0.1
2019-08-03T17:41:48.912Z,2019-08-03T17:42:10.837Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,zuki_nn,-0.34104793799998845,,68.63568028063142,-68.97672821863141,2,480,200,zuki_nn_X,"threshold_buy = 1
threshold_sell = -1
learning_rate = 0.01
momentum = 0.1
decay = 0.01
stoploss_enabled = false
stoploss_threshold = 0.85
hodl_threshold = 1
price_buffer_len = 100
min_predictions = 200
candleSize = 480","{""strategyName"":""zuki_nn"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""zuki_nn"":{""threshold_buy"":1,""threshold_sell"":-1,""learning_rate"":0.01,""momentum"":0.1,""decay"":0.01,""stoploss_enabled"":false,""stoploss_threshold"":0.85,""hodl_threshold"":1,""price_buffer_len"":100,""min_predictions"":200,""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""zuki_nn"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""threshold_buy = 1\nthreshold_sell = -1\nlearning_rate = 0.01\nmomentum = 0.1\ndecay = 0.01\nstoploss_enabled = false\nstoploss_threshold = 0.85\nhodl_threshold = 1\nprice_buffer_len = 100\nmin_predictions = 200\ncandleSize = 480""}",0.1
2019-08-03T17:41:48.912Z,2019-08-03T17:42:10.980Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,neuralnet_zschro,33.472347382799995,0.31970420352993323,68.63568028063142,-35.163332897831424,19,480,200,neuralnet_zschro_X,"threshold_buy = 1
threshold_sell = -1
method = ""adadelta""
learning_rate = 1.2
momentum = 0.9
decay = 0.1
stoploss_enabled = false
stoploss_threshold = 0.85
hodl_threshold = 1
price_buffer_len = 100
min_predictions = 200
candleSize = 480","{""strategyName"":""neuralnet_zschro"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""neuralnet_zschro"":{""threshold_buy"":1,""threshold_sell"":-1,""method"":""adadelta"",""learning_rate"":1.2,""momentum"":0.9,""decay"":0.1,""stoploss_enabled"":false,""stoploss_threshold"":0.85,""hodl_threshold"":1,""price_buffer_len"":100,""min_predictions"":200,""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""neuralnet_zschro"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""threshold_buy = 1\nthreshold_sell = -1\nmethod = \""adadelta\""\nlearning_rate = 1.2\nmomentum = 0.9\ndecay = 0.1\nstoploss_enabled = false\nstoploss_threshold = 0.85\nhodl_threshold = 1\nprice_buffer_len = 100\nmin_predictions = 200\ncandleSize = 480""}",0.1
2019-08-03T17:41:48.912Z,2019-08-03T17:42:14.980Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,neataptic,42.74331364599999,0.008540050721904852,68.63568028063142,-25.89236663463143,40,480,200,neataptic_X,"hiddenLayers = 3
lookAheadCandles = 6
iterations = 100
error = 0.0001
learnRate = 0.05
momentum = 0.1
architecture = ""LSTM""
minPercentIncrease = 2

[candlesForShort]
0 = 6

[candlesForLong]
0 = 6
stopLoss = 3

[RSI]
0 = 14

[SMA]
0 = 50
1 = 900
min_predictions = 200
candleSize = 480","{""strategyName"":""neataptic"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""neataptic"":{""hiddenLayers"":3,""lookAheadCandles"":6,""iterations"":100,""error"":0.0001,""learnRate"":0.05,""momentum"":0.1,""architecture"":""LSTM"",""minPercentIncrease"":2,""candlesForShort"":[6],""candlesForLong"":[6],""stopLoss"":3,""RSI"":[14],""SMA"":[50,900],""min_predictions"":200,""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""neataptic"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""hiddenLayers = 3\nlookAheadCandles = 6\niterations = 100\nerror = 0.0001\nlearnRate = 0.05\nmomentum = 0.1\narchitecture = \""LSTM\""\nminPercentIncrease = 2\n\n[candlesForShort]\n0 = 6\n\n[candlesForLong]\n0 = 6\nstopLoss = 3\n\n[RSI]\n0 = 14\n\n[SMA]\n0 = 50\n1 = 900\nmin_predictions = 200\ncandleSize = 480""}",0.1
2019-08-03T17:41:48.912Z,2019-08-03T17:42:18.616Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,n8_v2,16.249388541000002,,68.63568028063142,-52.38629173963142,2,480,200,n8_v2_X,"min_predictions = 200
candleSize = 480","{""strategyName"":""n8_v2"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""n8_v2"":{""min_predictions"":200,""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""n8_v2"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""min_predictions = 200\ncandleSize = 480""}",0.1
2019-08-03T17:41:48.912Z,2019-08-03T17:42:19.041Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,n8_v2_BB_RSI_SL,36.248438475,0.48712601634423713,68.63568028063142,-32.38724180563142,8,480,200,n8_v2_BB_RSI_SL_X,"interval = 14
SL = 1
BULL_RSI = 10
BULL_RSI_high = 80
BULL_RSI_low = 60
BEAR_RSI = 15
BEAR_RSI_high = 50
BEAR_RSI_low = 20
ADX = 3
ADX_high = 70
ADX_low = 50

[thresholds]
low = 30
high = 70
down = 0.1
persistence = 1
min_predictions = 200
candleSize = 480","{""strategyName"":""n8_v2_BB_RSI_SL"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""n8_v2_BB_RSI_SL"":{""interval"":14,""SL"":1,""BULL_RSI"":10,""BULL_RSI_high"":80,""BULL_RSI_low"":60,""BEAR_RSI"":15,""BEAR_RSI_high"":50,""BEAR_RSI_low"":20,""ADX"":3,""ADX_high"":70,""ADX_low"":50,""thresholds"":{""low"":30,""high"":70,""down"":0.1,""persistence"":1},""min_predictions"":200,""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""n8_v2_BB_RSI_SL"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""interval = 14\nSL = 1\nBULL_RSI = 10\nBULL_RSI_high = 80\nBULL_RSI_low = 60\nBEAR_RSI = 15\nBEAR_RSI_high = 50\nBEAR_RSI_low = 20\nADX = 3\nADX_high = 70\nADX_low = 50\n\n[thresholds]\nlow = 30\nhigh = 70\ndown = 0.1\npersistence = 1\nmin_predictions = 200\ncandleSize = 480""}",0.1
2019-08-03T17:41:48.912Z,2019-08-03T17:42:22.987Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,n8,0,0,68.63568028063142,-68.63568028063142,0,480,200,n8_X,"min_predictions = 200
candleSize = 480","{""strategyName"":""n8"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""n8"":{""min_predictions"":200,""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""n8"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""min_predictions = 200\ncandleSize = 480""}",0.1
2019-08-03T17:41:48.912Z,2019-08-03T17:42:24.934Z,2018-10-26T08:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,kraken,USD,XBT,Luke_NN,7.313384739999989,0.5455450032647335,68.63568028063142,-61.32229554063143,4,480,200,Luke_NN_X,"
[neuralnet]
price_buffer_len = 100
learning_rate = 0.01
scale = 1
momentum = 0.1
decay = 0.1
min_predictions = 200
candleSize = 480","{""strategyName"":""Luke_NN"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""Luke_NN"":{""neuralnet"":{""price_buffer_len"":100,""learning_rate"":0.01,""scale"":1,""momentum"":0.1,""decay"":0.1,""min_predictions"":200},""candleSize"":480},""tradingAdvisor"":{""enabled"":true,""method"":""Luke_NN"",""candleSize"":480,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""kraken"",""currency"":""USD"",""asset"":""XBT"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-10-26T08:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""\n[neuralnet]\nprice_buffer_len = 100\nlearning_rate = 0.01\nscale = 1\nmomentum = 0.1\ndecay = 0.1\nmin_predictions = 200\ncandleSize = 480""}",0.1
